SN,ItemName,Spec,LSL,tValue,USL,ElapsedTime,StartTime,Result
1561156156,LED_MODEL,lp5562,--,--,--,118455,2021-12-08 16:10:30.760553,Pass
1561156156,PHY_STATUS,--,--,--,--,106594,2021-12-08 16:10:30.880006,Pass
1561156156,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,107346,2021-12-08 16:10:30.987605,Pass
1561156156,FUSB_STATUS,--,--,--,--,108710,2021-12-08 16:10:31.095948,Pass
1561156156,REPORT_CHILD,--,--,--,--,106631,2021-12-08 16:10:31.206652,Pass
1561156156, Install driver,--,--,--,--,107079,2021-12-08 16:10:31.317279,Pass
1561156156, Install driver,--,--,--,--,108752,2021-12-08 16:10:31.425355,Pass
1561156156, Install driver,--,--,--,--,107892,2021-12-08 16:10:31.535114,Pass
1561156156,LOAD_BZT,--,--,--,--,108784,2021-12-08 16:10:31.644003,Pass
15616,CheckEeroTest,--,--,--,--,106853,2021-12-08 16:11:28.600544,Pass
15616,Checkroute,--,--,--,--,116784,2021-12-08 16:11:28.715376,Pass
15616,CheckEeroABA,--,--,--,--,109038,2021-12-08 16:11:28.834155,Pass
15616,VERIFYSFIS,--,--,--,--,106646,2021-12-08 16:11:28.945184,Pass
15616,AT+TESTSTART%,--,--,--,--,105939,2021-12-08 16:11:29.056814,Pass
15616,DUT_PING,--,--,--,--,110034,2021-12-08 16:11:29.163749,Pass
15616,DUT_TELNET,--,--,--,--,105724,2021-12-08 16:11:29.277771,Pass
15616,VeritfyDUTMAC,--,--,--,--,105953,2021-12-08 16:11:29.387482,Pass
15616,DUT_OK,15616,--,--,--,106838,2021-12-08 16:11:29.496431,Pass
15616,TEMP_BOOT,--,--,--,63,108311,2021-12-08 16:11:29.605256,Pass
15616,LED_MODEL,lp5562,--,--,--,108539,2021-12-08 16:11:29.715561,Pass
15616,PHY_STATUS,--,--,--,--,108989,2021-12-08 16:11:29.825096,Pass
15616,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,108967,2021-12-08 16:11:29.935132,Pass
15616,FUSB_STATUS,--,--,--,--,107455,2021-12-08 16:11:30.045094,Pass
15616,REPORT_CHILD,--,--,--,--,105370,2021-12-08 16:11:30.157543,Pass
15616, Install driver,--,--,--,--,107106,2021-12-08 16:11:30.265911,Pass
